make,model,recommend,where,body,price,manuf,citympg,hwympg,range,reliable,satisfy,weight,horse,rpm,gastank,engine,length
Nis,Stanza,Yes,Asian,Compact,12199,Nis,16,34,420,5 Excellent,3 Average,2830,94,2845,15.9,120,178
Ply,Sundanc,No,American,Compact,8395,Chr,18,34,375,3 Average,3 Average,2535,93,2180,14,135,172
Pon,GrandAm,No,American,Compact,10469,GM,16,36,350,2 Below average,3 Average,2735,110,2405,13.6,151,179
Saa,900,Yes,European,Compact,16995,Saa,,,,3 Average,3 Average,2775,128,2575,16.6,121,184
Toy,Camry,Yes,Asian,Compact,11488,Toy,19,44,525,5 Excellent,4 Above average,2925,115,2350,15.9,122,182
Vol,240,Yes,European,Compact,17250,Vol,16,31,380,3 Average,4 Above average,2985,114,2330,15.8,141,190
Acu,Legend,Yes,Asian,Midsize,24760,Acu,,,,5 Excellent,4 Above average,3265,160,2505,18,163,191
Aud,100/200,No,European,Midsize,25230,Aud,,,,4 Above average,,2935,130,2810,21.1,141,193
Bui,Century,No,American,Midsize,12199,GM,16,33,425,3 Average,3 Average,2950,160,2380,15.7,204,189
Bui,Regal,No,American,Midsize,14214,GM,16,37,450,1 Poor,,3220,145,1925,16.6,189,192
Bui,Riviera,No,American,Midsize,22540,GM,,,,1 Poor,,3370,165,1570,18.2,231,188
Cad,Eldorad,No,American,Midsize,26738,GM,,,,3 Average,3 Average,3420,155,1645,18.8,273,191
Cad,Seville,No,American,Midsize,29750,GM,,,,2 Below average,2 Below average,3420,155,1645,18.8,273,191
Chr,5th Ave,No,American,Midsize,18345,Chr,,,,1 Poor,2 Below average,3770,140,1740,18,318,207
Chr,LeBaron,No,American,Midsize,11495,Chr,15,34,360,2 Below average,3 Average,2915,100,2110,14,153,185
Dod,Dynasty,Yes,American,Midsize,12295,Chr,14,35,385,3 Average,,3275,141,1925,16,181,194
Eag,Premier,No,American,Midsize,13576,Chr,16,36,480,2 Below average,,2995,150,2260,17,181,193
For,Taurus,Yes,American,Midsize,11778,For,15,37,435,3 Average,3 Average,3360,140,1915,16,182,188
For,T-Bird,Yes,American,Midsize,14612,For,,,,3 Average,3 Average,3610,140,1730,19,232,199
Hyu,Sonata,No,Asian,Midsize,9695,Hyu,,,,,,2885,110,2330,15.8,143,184
Lin,Contine,No,American,Midsize,28032,For,,,,2 Below average,,3640,140,1840,18.6,232,205
Lin,MarkVII,No,American,Midsize,27569,For,,,,1 Poor,3 Average,3780,225,1595,22.1,302,203
Maz,929,Yes,Asian,Midsize,21920,Maz,,,,5 Excellent,,3480,158,2355,18.5,180,193
Mer,Benz300,Yes,European,Midsize,44850,Mer,,,,4 Above average,4 Above average,3270,177,2575,18.5,181,187
Mer,Scorpio,No,European,Midsize,25052,Mrk,,,,1 Poor,,3230,144,2565,16.9,177,186
Nis,Maxima,Yes,Asian,Midsize,18549,Nis,,,,,3 Average,3200,160,2350,18.5,180,188
Peu,505,No,European,Midsize,19295,Peu,,,,,3 Average,3000,120,2865,18,132,187
Saa,9000,No,European,Midsize,24445,Saa,13,32,435,3 Average,3 Average,3065,130,2650,17.9,121,188
Ste,827,No,European,Midsize,23300,Ste,15,30,400,1 Poor,2 Below average,3295,160,2470,17,163,189
Toy,Cressid,Yes,Asian,Midsize,21498,Toy,,,,,4 Above average,3480,190,2315,18.5,180,190
Vol,740/760,Yes,European,Midsize,19985,Vol,15,29,320,3 Average,4 Above average,3325,160,2435,15.8,141,188
Bui,Electra,Yes,American,Fullsize,18525,GM,,,,3 Average,3 Average,3350,165,1520,18,231,197
Cad,Broughm,No,American,Fullsize,25699,GM,,,,1 Poor,,4190,140,1445,25,307,221
Cad,Deville,No,American,Fullsize,24960,GM,,,,3 Average,3 Average,3475,155,1645,18,273,206
Che,Caprice,No,American,Fullsize,13865,GM,12,29,495,1 Poor,3 Average,3855,170,1410,25,305,212
For,LTD,Yes,American,Fullsize,15851,For,13,30,400,3 Average,4 Above average,3790,150,1415,18,302,211
Lin,TownCar,No,American,Fullsize,25562,For,,,,1 Poor,4 Above average,4105,150,1595,18,302,219
Old,88Royal,Yes,American,Fullsize,15195,GM,15,38,455,3 Average,2 Below average,3325,165,1585,18,231,197
Pon,Bonnevi,Yes,American,Fullsize,14829,GM,13,33,420,3 Average,3 Average,3360,165,1595,18,231,199
Che,Astro,No,American,Minivan,11900,GM,,,,2 Below average,3 Average,4025,150,1630,27,262,177
For,Aerosta,No,American,Minivan,11509,For,12,28,360,2 Below average,2 Below average,3665,145,2370,21,182,175
Maz,MPV,No,Asian,Minivan,13759,Maz,,,,,,3610,121,2510,15.9,159,176
Mit,Mit Wag,No,Asian,Minivan,14929,Mit,14,27,295,1 Poor,1 Poor,3415,107,2310,14.2,143,175
Nis,Nis Van,No,Asian,Minivan,14799,Nis,13,27,360,1 Poor,1 Poor,3690,106,2585,17.7,146,178
Ply,Voyager,Yes,Asian,Minivan,11312,Chr,,,,3 Average,4 Above average,3385,100,2250,15,153,176
Ply,Grand V,Yes,Asian,Minivan,13061,Chr,13,28,450,3 Average,5 Excellent,3625,141,1925,20,181,191
Toy,Toyovan,No,Asian,Minivan,13608,Toy,,,,4 Above average,3 Average,3050,101,2685,15.9,136,176
VW,Vanagon,No,European,Minivan,17035,VW,,,,3 Average,4 Above average,3460,90,3370,15.9,129,180
